RF Attenuator	0	dB		RF Attenuator	0	dB		RF Attenuator	0	dB		RF Attenuator	0	dB
Preamplifier	Off			Preamplifier	Off			Preamplifier	Off			Preamplifier	Off	
RF Input	50 Ohm			RF Input	50 Ohm			RF Input	50 Ohm			RF Input	50 Ohm	
2057142857,14286	-6,3957085609436	 		2057142857,14286	57,8796539306641	 		2057142857,14286	-1,45220255851746	 		2057142857,14286	79,3753433227539	 
2058730158,73016	-6,47383737564087	 		2058730158,73016	58,1190185546875	 		2058730158,73016	-1,41126692295074	 		2058730158,73016	78,2544860839844	 
2060317460,31746	-6,54277372360229	 		2060317460,31746	58,4392585754395	 		2060317460,31746	-1,38555157184601	 		2060317460,31746	77,2200622558594	 
2061904761,90476	-6,59420871734619	 		2061904761,90476	58,7657585144043	 		2061904761,90476	-1,36902260780334	 		2061904761,90476	76,2958602905273	 
2063492063,49206	-6,61652660369873	 		2063492063,49206	59,1888694763184	 		2063492063,49206	-1,36052191257477	 		2063492063,49206	75,2667770385742	 
2065079365,07937	-6,61373472213745	 		2065079365,07937	59,5193634033203	 		2065079365,07937	-1,35985887050629	 		2065079365,07937	74,1898422241211	 
2066666666,66667	-6,61022090911865	 		2066666666,66667	59,9511528015137	 		2066666666,66667	-1,36530423164368	 		2066666666,66667	73,1796417236328	 
2068253968,25397	-6,57324552536011	 		2068253968,25397	60,2344932556152	 		2068253968,25397	-1,37425863742828	 		2068253968,25397	72,2769088745117	 
2069841269,84127	-6,52669477462769	 		2069841269,84127	60,488094329834	 		2069841269,84127	-1,38775551319122	 		2069841269,84127	71,1811065673828	 
2071428571,42857	-6,44505548477173	 		2071428571,42857	60,8010902404785	 		2071428571,42857	-1,40177965164185	 		2071428571,42857	70,5791549682617	 
2073015873,01587	-6,3707013130188	 		2073015873,01587	60,9130630493164	 		2073015873,01587	-1,41860604286194	 		2073015873,01587	69,5783157348633	 
2074603174,60317	-6,2598729133606	 		2074603174,60317	60,8142280578613	 		2074603174,60317	-1,4393093585968	 		2074603174,60317	68,7180404663086	 
2076190476,19048	-6,15743637084961	 		2076190476,19048	60,8328323364258	 		2076190476,19048	-1,46396207809448	 		2076190476,19048	68,0375900268555	 
